player,tm,pos,pts,g,mp,ast,stl,blk,yr2019_20,avg_cost_per_pt,Salary Per Minute
Luguentz Dort,OKC,SG,244,36,820,27,31,4,155647,637.9,189.81
Troy Williams,,,,,,,,,122741,,
Johnathan Williams,WAS,C,45,15,180,8,1,8,106181,2359.58,589.89
Tyler Cook,DEN,PF,4,2,19,0,2,0,101504,25376,5342.32
Donta Hall,BRK,PF,33,5,85,2,2,5,101504,3075.88,1194.16
Yante Maten,,,,,,,,,100000,,
Demetrius Jackson,,,,,,,,,92857,,
Chasson Randle,GSW,PG,5,3,40,5,2,0,91557,18311.4,2288.93
Jeremy Pargo,GSW,PG,25,3,44,8,1,0,91557,3662.28,2080.84
Josh Magette,ORL,PG,12,8,38,5,3,1,81678,6806.5,2149.42
Dusty Hannahs,MEM,SG,12,2,13,0,0,0,81678,6806.5,6282.92
Sheldon Mac,,,,,,,,,81678,,
J.P. Macura,CLE,SG,0,1,1,0,0,0,81678,inf,81678
Eric Mika,SAC,PF,6,1,19,0,0,0,50752,8458.67,2671.16
Zach Norvell,GSW,SG,10,3,36,3,2,0,50752,5075.2,1409.78
Malik Newman,CLE,SG,2,1,4,0,0,0,50752,25376,12688
Marques Bolden,CLE,C,0,1,3,0,1,0,50752,inf,16917.33
Sir'Dominic Pointer,,,,,,,,,50752,,
Paul Watson,TOR,SF,31,8,70,5,3,1,50752,1637.16,725.03
William Howard,HOU,PF,0,2,13,1,0,0,50000,inf,3846.15
Isaiah Taylor,,,,,,,,,50000,,
Tyler Lydon,,,,,,,,,50000,,
Hollis Thompson,,,,,,,,,50000,,
Tyler Ulis,,,,,,,,,50000,,
